1,1,0.01639344262295082,MyAgent@4,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
10,2,0.16393442622950818,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 100 kW,])
11,1,0.18032786885245902,MyAgent@4,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 100 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
11,2,0.18032786885245902,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
12,1,0.19672131147540983,MyAgent@4,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
12,2,0.19672131147540983,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 0 kW,, 22-06: 100 kW,])
13,1,0.21311475409836064,MyAgent@4,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 75 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
13,2,0.21311475409836064,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 25 kW,, 22-06: 75 kW,])
14,1,0.22950819672131148,MyAgent@4,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
14,2,0.22950819672131148,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 50 kW,, 22-06: 25 kW,])
15,1,0.2459016393442623,MyAgent@4,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
15,2,0.2459016393442623,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 75 kW,, 19-22: 0 kW,, 22-06: 50 kW,])
16,1,0.26229508196721313,MyAgent@4,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
16,2,0.26229508196721313,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 100 kW,, 19-22: 0 kW,, 22-06: 50 kW,])
17,1,0.2786885245901639,MyAgent@4,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
17,2,0.2786885245901639,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 75 kW,, 22-06: 0 kW,])
18,1,0.29508196721311475,MyAgent@4,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 0 kW,])
18,2,0.29508196721311475,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 75 kW,, 22-06: 0 kW,])
19,1,0.3114754098360656,MyAgent@4,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 75 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
19,2,0.3114754098360656,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 0 kW,, 19-22: 50 kW,, 22-06: 50 kW,])
20,1,0.32786885245901637,MyAgent@4,(Offer  bid:Bid[06-09: 50 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
20,2,0.32786885245901637,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 50 kW,, 22-06: 50 kW,])
21,1,0.3442622950819672,MyAgent@4,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
21,2,0.3442622950819672,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 100 kW,, 19-22: 0 kW,, 22-06: 100 kW,])
22,1,0.36065573770491804,MyAgent@4,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
22,2,0.36065573770491804,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 0 kW,])
23,1,0.3770491803278688,MyAgent@4,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 25 kW,, 19-22: 75 kW,, 22-06: 100 kW,])
23,2,0.3770491803278688,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 0 kW,])
24,1,0.39344262295081966,MyAgent@4,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
24,2,0.39344262295081966,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 75 kW,, 22-06: 50 kW,])
25,1,0.4098360655737705,MyAgent@4,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 50 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
25,2,0.4098360655737705,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 50 kW,, 22-06: 100 kW,])
26,1,0.4262295081967213,MyAgent@4,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
26,2,0.4262295081967213,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 75 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
27,1,0.4426229508196721,MyAgent@4,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 50 kW,])
27,2,0.4426229508196721,TimeDependentAgentLinear@5,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
28,1,0.45901639344262296,MyAgent@4,(Accept  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 75 kW,])
agreement,Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 75 kW,],0.873358463175054,0.7250163383509155
