1,1,0.01639344262295082,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
13,1,0.21311475409836064,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
13,2,0.21311475409836064,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
14,1,0.22950819672131148,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
14,2,0.22950819672131148,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
15,1,0.2459016393442623,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
15,2,0.2459016393442623,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
16,1,0.26229508196721313,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
16,2,0.26229508196721313,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1200, HardDisk: 256GB, Monitor: 15])
17,1,0.2786885245901639,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
17,2,0.2786885245901639,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1400, HardDisk: 512GB, Monitor: 15])
18,1,0.29508196721311475,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
18,2,0.29508196721311475,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1400, HardDisk: 512GB, Monitor: 15])
19,1,0.3114754098360656,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
19,2,0.3114754098360656,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1400, HardDisk: 512GB, Monitor: 15])
20,1,0.32786885245901637,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
20,2,0.32786885245901637,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1000, HardDisk: 256GB, Monitor: 15])
21,1,0.3442622950819672,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
21,2,0.3442622950819672,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 17])
22,1,0.36065573770491804,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
22,2,0.36065573770491804,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1400, HardDisk: 256GB, Monitor: 17])
23,1,0.3770491803278688,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
23,2,0.3770491803278688,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1200, HardDisk: 1TB, Monitor: 15])
24,1,0.39344262295081966,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
24,2,0.39344262295081966,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1200, HardDisk: 1TB, Monitor: 15])
25,1,0.4098360655737705,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
25,2,0.4098360655737705,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1200, HardDisk: 1TB, Monitor: 15])
26,1,0.4262295081967213,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
26,2,0.4262295081967213,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1200, HardDisk: 1TB, Monitor: 15])
27,1,0.4426229508196721,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
27,2,0.4426229508196721,TimeDependentAgentLinear@3,(Offer  bid:Bid[price: 1200, HardDisk: 1TB, Monitor: 15])
28,1,0.45901639344262296,MyAgent@2,(Offer  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
28,2,0.45901639344262296,TimeDependentAgentLinear@3,(Accept  bid:Bid[price: 1000, HardDisk: 1TB, Monitor: 15])
agreement,Bid[price: 1000, HardDisk: 1TB, Monitor: 15],1.0,0.19941884181157893
