1,1,0.01639344262295082,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
23,2,0.3770491803278688,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
24,1,0.39344262295081966,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
24,2,0.39344262295081966,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
25,1,0.4098360655737705,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
25,2,0.4098360655737705,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
26,1,0.4262295081967213,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
26,2,0.4262295081967213,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
27,1,0.4426229508196721,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
27,2,0.4426229508196721,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
28,1,0.45901639344262296,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
28,2,0.45901639344262296,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
29,1,0.47540983606557374,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
29,2,0.47540983606557374,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
30,1,0.4918032786885246,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
30,2,0.4918032786885246,ExampleAgent@3,(Offer  bid:Bid[Food: Catering, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: MP3, Cleanup: Hired Help])
31,1,0.5081967213114754,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
31,2,0.5081967213114754,ExampleAgent@3,(Offer  bid:Bid[Food: Handmade Food, Drinks: Handmade Cocktails, Location: Party Tent, Invitations: Custom, Handmade, Music: Band, Cleanup: Water and Soap])
32,1,0.5245901639344263,OptimalBidderSimple@2,(Offer  bid:Bid[Food: Catering])
